Channel:Channel1
Capture Time:2019-04-05 11:34:51.199
Length:1400
Sample Rate:2GSa/s
Interval:500ps
Time Base:50ns/div
Delay:500us
Vertical Sensitivity:400mV/div
Vertical Offset:-1.5V
Channel:Channel4
Capture Time:2019-04-05 11:34:51.392
Length:1400
Sample Rate:2GSa/s
Interval:500ps
Time Base:50ns/div
Delay:500us
Vertical Sensitivity:500mV/div
Vertical Offset:-1.91V
ch1_time(s),ch1_value(V),ch4_time(s),ch4_value(V)
0.00049965,2.076,0.00049965,1.65
0.0004996505,2.06,0.0004996505,1.65
0.000499651,2.076,0.000499651,1.65
0.0004996515,2.06,0.0004996515,1.65
0.000499652,2.028,0.000499652,1.65
0.0004996525,2.028,0.0004996525,1.65
0.000499653,2.012,0.000499653,1.65
0.0004996535,1.996,0.0004996535,1.65
0.000499654,1.948,0.000499654,1.65
0.0004996545,1.916,0.0004996545,1.63
0.000499655,1.868,0.000499655,1.63
0.0004996555,1.836,0.0004996555,1.65
0.000499656,1.772,0.000499656,1.65
0.0004996565,1.708,0.0004996565,1.63
0.000499657,1.628,0.000499657,1.65
0.0004996575,1.564,0.0004996575,1.63
0.000499658,1.468,0.000499658,1.65
0.0004996585,1.372,0.0004996585,1.65
0.000499659,1.276,0.000499659,1.65
0.0004996595,1.212,0.0004996595,1.67
0.00049966,1.132,0.00049966,1.65
0.0004996605,1.068,0.0004996605,1.65
0.000499661,0.988,0.000499661,1.65
0.0004996615,0.924,0.0004996615,1.65
0.000499662,0.844,0.000499662,1.65
0.0004996625,0.812,0.0004996625,1.65
0.000499663,0.78,0.000499663,1.63
0.0004996635,0.764,0.0004996635,1.63
0.000499664,0.716,0.000499664,1.63
0.0004996645,0.7,0.0004996645,1.63
0.000499665,0.684,0.000499665,1.63
0.0004996655,0.668,0.0004996655,1.63
0.000499666,0.636,0.000499666,1.63
0.0004996665,0.62,0.0004996665,1.65
0.000499667,0.604,0.000499667,1.65
0.0004996675,0.62,0.0004996675,1.67
0.000499668,0.604,0.000499668,1.65
0.0004996685,0.588,0.0004996685,1.65
0.000499669,0.572,0.000499669,1.65
0.0004996695,0.556,0.0004996695,1.63
0.00049967,0.54,0.00049967,1.59
0.0004996705,0.524,0.0004996705,1.55
0.000499671,0.508,0.000499671,1.49
0.0004996715,0.492,0.0004996715,1.45
0.000499672,0.476,0.000499672,1.37
0.0004996725,0.46,0.0004996725,1.29
0.000499673,0.46,0.000499673,1.19
0.0004996735,0.46,0.0004996735,1.11
0.000499674,0.444,0.000499674,1.01
0.0004996745,0.444,0.0004996745,0.91
0.000499675,0.428,0.000499675,0.81
0.0004996755,0.428,0.0004996755,0.75
0.000499676,0.428,0.000499676,0.65
0.0004996765,0.428,0.0004996765,0.55
0.000499677,0.412,0.000499677,0.45
0.0004996775,0.412,0.0004996775,0.39
0.000499678,0.396,0.000499678,0.31
0.0004996785,0.396,0.0004996785,0.21
0.000499679,0.364,0.000499679,0.15
0.0004996795,0.364,0.0004996795,0.11
0.00049968,0.364,0.00049968,0.05
0.0004996805,0.38,0.0004996805,0.01
0.000499681,0.38,0.000499681,-0.01
0.0004996815,0.38,0.0004996815,-0.01
0.000499682,0.364,0.000499682,-0.05
0.0004996825,0.364,0.0004996825,-0.05
0.000499683,0.348,0.000499683,-0.05
0.0004996835,0.348,0.0004996835,-0.03
0.000499684,0.332,0.000499684,-0.05
0.0004996845,0.332,0.0004996845,-0.03
0.000499685,0.316,0.000499685,-0.01
0.0004996855,0.316,0.0004996855,-0.01
0.000499686,0.316,0.000499686,-0.01
0.0004996865,0.348,0.0004996865,-0.03
0.000499687,0.332,0.000499687,-0.03
0.0004996875,0.332,0.0004996875,-0.03
0.000499688,0.316,0.000499688,-0.05
0.0004996885,0.316,0.0004996885,-0.05
0.000499689,0.3,0.000499689,-0.05
0.0004996895,0.316,0.0004996895,-0.03
0.00049969,0.3,0.00049969,-0.05
0.0004996905,0.3,0.0004996905,-0.05
0.000499691,0.3,0.000499691,-0.05
0.0004996915,0.316,0.0004996915,-0.03
0.000499692,0.316,0.000499692,-0.05
0.0004996925,0.3,0.0004996925,-0.03
0.000499693,0.284,0.000499693,-0.03
0.0004996935,0.3,0.0004996935,-0.01
0.000499694,0.284,0.000499694,-0.03
0.0004996945,0.316,0.0004996945,-0.03
0.000499695,0.3,0.000499695,-0.03
0.0004996955,0.3,0.0004996955,-0.03
0.000499696,0.3,0.000499696,-0.05
0.0004996965,0.3,0.0004996965,-0.03
0.000499697,0.3,0.000499697,-0.03
0.0004996975,0.316,0.0004996975,-0.03
0.000499698,0.3,0.000499698,-0.05
0.0004996985,0.316,0.0004996985,-0.03
0.000499699,0.3,0.000499699,-0.05
0.0004996995,0.316,0.0004996995,-0.03
0.0004997,0.3,0.0004997,-0.03
0.0004997005,0.316,0.0004997005,-0.03
0.000499701,0.332,0.000499701,-0.05
0.0004997015,0.348,0.0004997015,-0.01
0.000499702,0.38,0.000499702,-0.03
0.0004997025,0.428,0.0004997025,-0.03
0.000499703,0.476,0.000499703,-0.03
0.0004997035,0.556,0.0004997035,-0.01
0.000499704,0.636,0.000499704,-0.03
0.0004997045,0.716,0.0004997045,-0.03
0.000499705,0.812,0.000499705,-0.03
0.0004997055,0.956,0.0004997055,-0.01
0.000499706,1.084,0.000499706,-0.03
0.0004997065,1.228,0.0004997065,-0.03
0.000499707,1.372,0.000499707,-0.03
0.0004997075,1.516,0.0004997075,-0.03
0.000499708,1.628,0.000499708,-0.05
0.0004997085,1.756,0.0004997085,-0.03
